CREATE_INSTANT_INVITE,0x0000000001 (1 << 0),Allows creation of instant invites,0
KICK_MEMBERS *,0x0000000002 (1 << 1),Allows kicking members,7
BAN_MEMBERS *,0x0000000004 (1 << 2),Allows banning members,7
ADMINISTRATOR *,0x0000000008 (1 << 3),Allows all permissions and bypasses channel permission overwrites,17
MANAGE_CHANNELS *,0x0000000010 (1 << 4),Allows management and editing of channels,7
MANAGE_GUILD *,0x0000000020 (1 << 5),Allows management and editing of the guild,7
ADD_REACTIONS,0x0000000040 (1 << 6),Allows for the addition of reactions to messages,0
VIEW_AUDIT_LOG,0x0000000080 (1 << 7),Allows for viewing of audit logs,4
PRIORITY_SPEAKER,0x0000000100 (1 << 8),Allows for using priority speaker in a voice channel,0
STREAM,0x0000000200 (1 << 9),Allows the user to go live,0
VIEW_CHANNEL,0x0000000400 (1 << 10),Allows guild members to view a channel which includes reading messages in text channels,7
SEND_MESSAGES,0x0000000800 (1 << 11),Allows for sending messages in a channel (does not allow sending messages in threads),4
SEND_TTS_MESSAGES,0x0000001000 (1 << 12),Allows for sending of /tts messages,0
MANAGE_MESSAGES *,0x0000002000 (1 << 13),Allows for deletion of other users messages,7
EMBED_LINKS,0x0000004000 (1 << 14),Links sent by users with this permission will be auto-embedded,0
ATTACH_FILES,0x0000008000 (1 << 15),Allows for uploading images and files,7
READ_MESSAGE_HISTORY,0x0000010000 (1 << 16),Allows for reading of message history,7
MENTION_EVERYONE,0x0000020000 (1 << 17),Allows for using the @everyone tag to notify all users in a channel and the @here tag to notify all online users in a channel,4
USE_EXTERNAL_EMOJIS,0x0000040000 (1 << 18),Allows the usage of custom emojis from other servers,0
VIEW_GUILD_INSIGHTS,0x0000080000 (1 << 19),Allows for viewing guild insights,0
CONNECT,0x0000100000 (1 << 20),Allows for joining of a voice channel,0
SPEAK,0x0000200000 (1 << 21),Allows for speaking in a voice channel,0
MUTE_MEMBERS,0x0000400000 (1 << 22),Allows for muting members in a voice channel,4
DEAFEN_MEMBERS,0x0000800000 (1 << 23),Allows for deafening of members in a voice channel,4
MOVE_MEMBERS,0x0001000000 (1 << 24),Allows for moving of members between voice channels,4
USE_VAD,0x0002000000 (1 << 25),Allows for using voice-activity-detection in a voice channel,4
CHANGE_NICKNAME,0x0004000000 (1 << 26),Allows for modification of own nickname,0
MANAGE_NICKNAMES,0x0008000000 (1 << 27),Allows for modification of other users nicknames,7
MANAGE_ROLES *,0x0010000000 (1 << 28),Allows management and editing of roles,7
MANAGE_WEBHOOKS *,0x0020000000 (1 << 29),Allows management and editing of webhooks,4
MANAGE_EMOJIS_AND_STICKERS *,0x0040000000 (1 << 30),Allows management and editing of emojis and stickers,0
USE_APPLICATION_COMMANDS,0x0080000000 (1 << 31),Allows members to use application commands including slash commands and context menu commands.,0
REQUEST_TO_SPEAK,0x0100000000 (1 << 32),Allows for requesting to speak in stage channels. (This permission is under active development and may be changed or removed.),0
MANAGE_THREADS *,0x0400000000 (1 << 34),Allows for deleting and archiving threads and viewing all private threads,4
CREATE_PUBLIC_THREADS,0x0800000000 (1 << 35),Allows for creating threads,0
CREATE_PRIVATE_THREADS,0x1000000000 (1 << 36),Allows for creating private threads,0
USE_EXTERNAL_STICKERS,0x2000000000 (1 << 37),Allows the usage of custom stickers from other servers,4
SEND_MESSAGES_IN_THREADS,0x4000000000 (1 << 38),Allows for sending messages in threads,0
START_EMBEDDED_ACTIVITIES,0x8000000000 (1 << 39),Allows for launching activities (applications with the EMBEDDED flag) in a voice channel,0
